respondent_scenario_id,respondent_id,scenario_id,recommendation_source,consistent_recommendation,agree_with_recommendation,biased,impartial,confident,objective,subjective,trustworthy
R_222EEE12-6_F,R_222EEE12,6_F,human,True,1,4,2,2,3,2,-2
R_222EEE12-7_F,R_222EEE12,7_F,ai,False,1,3,3,2,3,3,-2
R_222EEE12-8_F,R_222EEE12,8_F,human,False,5,3,3,1,3,3,1
R_222EEE13-1_J,R_222EEE13,1_J,human,False,5,2,4,4,4,4,4
R_222EEE13-2_J,R_222EEE13,2_J,human,True,5,3,3,4,4,3,3
R_222EEE13-3_J,R_222EEE13,3_J,ai,False,1,3,4,5,4,4,-1
R_222EEE13-4_J,R_222EEE13,4_J,ai,True,5,3,4,4,4,4,3
R_222EEE13-5_J,R_222EEE13,5_J,ai,True,5,3,3,4,4,3,3
R_222EEE13-6_J,R_222EEE13,6_J,ai,False,5,4,2,4,4,2,3
R_222EEE13-7_J,R_222EEE13,7_J,human,True,5,4,4,3,4,4,0
R_222EEE13-8_J,R_222EEE13,8_J,human,False,1,5,2,2,3,2,-5
R_222EEE14-1_B,R_222EEE14,1_B,human,False,1,5,5,5,5,5,0
R_222EEE14-2_B,R_222EEE14,2_B,ai,True,1,5,2,5,5,2,3
R_222EEE14-3_B,R_222EEE14,3_B,ai,False,1,2,3,5,5,3,4
R_222EEE14-4_B,R_222EEE14,4_B,human,True,5,1,2,5,5,2,11
R_222EEE14-5_B,R_222EEE14,5_B,human,True,1,5,5,5,5,5,-3
R_222EEE14-6_B,R_222EEE14,6_B,ai,False,5,3,3,5,5,3,7
R_222EEE14-7_B,R_222EEE14,7_B,ai,True,5,2,2,5,5,2,9
R_222EEE14-8_B,R_222EEE14,8_B,human,False,5,2,2,5,5,2,9
R_222EEE15-1_L,R_222EEE15,1_L,ai,False,1,4,2,4,2,2,-1
R_222EEE15-2_L,R_222EEE15,2_L,ai,True,1,4,3,2,3,3,-5
R_222EEE15-3_L,R_222EEE15,3_L,human,False,1,4,3,3,3,3,-4
R_222EEE15-4_L,R_222EEE15,4_L,human,True,1,3,3,1,3,3,-5
R_222EEE15-5_L,R_222EEE15,5_L,human,True,5,1,5,4,5,5,6
R_222EEE15-6_L,R_222EEE15,6_L,human,False,1,4,2,3,2,2,-2
R_222EEE15-7_L,R_222EEE15,7_L,ai,True,5,4,4,3,2,4,-2
R_222EEE15-8_L,R_222EEE15,8_L,ai,False,5,2,4,4,4,4,6
R_222EEE16-1_A,R_222EEE16,1_A,human,True,1,3,4,2,4,4,-3
R_222EEE16-2_A,R_222EEE16,2_A,human,False,5,2,4,3,2,4,1
R_222EEE16-3_A,R_222EEE16,3_A,ai,True,1,3,3,1,3,3,-4
R_222EEE16-4_A,R_222EEE16,4_A,ai,False,1,2,3,2,4,3,-1
R_222EEE16-5_A,R_222EEE16,5_A,ai,False,5,3,4,1,3,4,1
R_222EEE16-6_A,R_222EEE16,6_A,ai,True,5,3,1,1,2,1,1
R_222EEE16-7_A,R_222EEE16,7_A,human,False,5,4,3,1,2,3,-2
R_222EEE16-8_A,R_222EEE16,8_A,human,True,5,3,4,1,2,4,-2
R_222EEE17-1_F,R_222EEE17,1_F,human,False,5,2,4,4,4,4,5
R_222EEE17-2_F,R_222EEE17,2_F,ai,False,5,1,4,3,2,4,3
R_222EEE17-3_F,R_222EEE17,3_F,human,True,5,4,2,4,4,2,5
R_222EEE17-4_F,R_222EEE17,4_F,ai,True,5,4,2,2,2,2,0
R_222EEE17-5_F,R_222EEE17,5_F,ai,True,1,3,3,3,3,3,-2
R_222EEE17-6_F,R_222EEE17,6_F,human,True,1,5,4,3,2,4,-5
R_222EEE17-7_F,R_222EEE17,7_F,ai,False,1,2,4,2,4,4,-1
R_222EEE17-8_F,R_222EEE17,8_F,human,False,5,5,5,1,1,5,-8
R_222EEE18-1_J,R_222EEE18,1_J,human,False,1,4,2,5,4,2,0
R_222EEE18-2_J,R_222EEE18,2_J,human,True,5,3,2,5,3,2,4
R_222EEE18-3_J,R_222EEE18,3_J,ai,False,1,5,4,5,4,4,-3
R_222EEE18-4_J,R_222EEE18,4_J,ai,True,5,2,5,3,3,5,1
R_222EEE18-5_J,R_222EEE18,5_J,ai,True,5,3,4,3,3,4,1
R_222EEE18-6_J,R_222EEE18,6_J,ai,False,5,2,3,3,4,3,3
R_222EEE18-7_J,R_222EEE18,7_J,human,True,1,3,5,2,2,5,-7
R_222EEE18-8_J,R_222EEE18,8_J,human,False,1,5,5,3,3,5,-7
R_222EEE19-1_D,R_222EEE19,1_D,ai,False,5,2,2,4,5,2,9
R_222EEE19-2_D,R_222EEE19,2_D,human,True,5,1,2,4,5,2,10
R_222EEE19-3_D,R_222EEE19,3_D,human,False,5,2,2,3,4,2,5
R_222EEE19-4_D,R_222EEE19,4_D,ai,True,5,4,3,3,3,3,1
R_222EEE19-5_D,R_222EEE19,5_D,ai,True,1,3,3,4,4,3,1
R_222EEE19-6_D,R_222EEE19,6_D,human,False,1,4,4,3,3,4,-4
R_222EEE19-7_D,R_222EEE19,7_D,human,True,5,3,3,2,3,3,1
R_222EEE19-8_D,R_222EEE19,8_D,ai,False,1,2,3,3,4,3,1
R_222EEE20-1_A,R_222EEE20,1_A,human,True,5,2,4,3,4,4,4
R_222EEE20-2_A,R_222EEE20,2_A,human,False,5,5,4,3,4,4,1
R_222EEE20-3_A,R_222EEE20,3_A,ai,True,1,3,3,2,4,3,-1
R_222EEE20-4_A,R_222EEE20,4_A,ai,False,1,3,3,3,4,3,0
R_222EEE20-5_A,R_222EEE20,5_A,ai,False,1,2,2,3,4,2,2
R_222EEE20-6_A,R_222EEE20,6_A,ai,True,5,2,3,2,4,3,4
R_222EEE20-7_A,R_222EEE20,7_A,human,False,5,2,4,3,4,4,4
R_222EEE20-8_A,R_222EEE20,8_A,human,True,5,2,4,4,5,4,7
R_222EEE21-1_D,R_222EEE21,1_D,ai,False,1,4,2,4,4,2,1
R_222EEE21-2_D,R_222EEE21,2_D,human,True,5,1,5,4,4,5,6
R_222EEE21-3_D,R_222EEE21,3_D,human,False,5,2,4,4,4,4,5
R_222EEE21-4_D,R_222EEE21,4_D,ai,True,1,4,2,4,4,2,1
R_222EEE21-5_D,R_222EEE21,5_D,ai,True,1,3,3,4,4,3,1
R_222EEE21-6_D,R_222EEE21,6_D,human,False,1,3,3,4,3,3,0
R_222EEE21-7_D,R_222EEE21,7_D,human,True,5,2,4,4,4,4,5
R_222EEE21-8_D,R_222EEE21,8_D,ai,False,1,3,3,3,3,3,-1
R_2XisQcp2nwPU39D-1_C,R_2XisQcp2nwPU39D,1_C,ai,True,5,4,3,4,4,3,3
R_2XisQcp2nwPU39D-2_C,R_2XisQcp2nwPU39D,2_C,ai,False,1,1,4,4,5,4,3
R_2XisQcp2nwPU39D-3_C,R_2XisQcp2nwPU39D,3_C,human,True,5,2,4,4,3,4,3
R_2XisQcp2nwPU39D-4_C,R_2XisQcp2nwPU39D,4_C,human,False,1,2,4,4,5,4,1
R_2XisQcp2nwPU39D-5_C,R_2XisQcp2nwPU39D,5_C,human,False,1,4,3,4,4,3,-1
R_2XisQcp2nwPU39D-6_C,R_2XisQcp2nwPU39D,6_C,human,True,1,3,3,3,3,3,-2
R_2XisQcp2nwPU39D-7_C,R_2XisQcp2nwPU39D,7_C,ai,False,1,2,4,4,4,4,1
R_2XisQcp2nwPU39D-8_C,R_2XisQcp2nwPU39D,8_C,ai,True,5,3,3,3,2,3,1
R_8QrPGt5CNvLd1lp-1_D,R_8QrPGt5CNvLd1lp,1_D,ai,False,5,2,4,4,4,4,6
R_8QrPGt5CNvLd1lp-2_D,R_8QrPGt5CNvLd1lp,2_D,human,True,5,2,4,4,4,4,5
R_8QrPGt5CNvLd1lp-3_D,R_8QrPGt5CNvLd1lp,3_D,human,False,1,4,3,2,3,3,-3
R_8QrPGt5CNvLd1lp-4_D,R_8QrPGt5CNvLd1lp,4_D,ai,True,1,5,2,2,4,2,-3
R_8QrPGt5CNvLd1lp-5_D,R_8QrPGt5CNvLd1lp,5_D,ai,True,5,2,4,2,4,4,2
R_8QrPGt5CNvLd1lp-6_D,R_8QrPGt5CNvLd1lp,6_D,human,False,1,4,2,2,4,2,-1
R_8QrPGt5CNvLd1lp-7_D,R_8QrPGt5CNvLd1lp,7_D,human,True,5,2,4,1,4,4,0
R_8QrPGt5CNvLd1lp-8_D,R_8QrPGt5CNvLd1lp,8_D,ai,False,5,2,4,1,4,4,1
R_2k7mVNKwRjNl6KQ-1_B,R_2k7mVNKwRjNl6KQ,1_B,human,False,1,1,5,4,5,5,2
R_2k7mVNKwRjNl6KQ-2_B,R_2k7mVNKwRjNl6KQ,2_B,ai,True,1,3,3,5,5,3,4
R_2k7mVNKwRjNl6KQ-3_B,R_2k7mVNKwRjNl6KQ,3_B,ai,False,1,2,4,4,5,4,3
R_2k7mVNKwRjNl6KQ-4_B,R_2k7mVNKwRjNl6KQ,4_B,human,True,5,1,4,4,5,4,8
R_2k7mVNKwRjNl6KQ-5_B,R_2k7mVNKwRjNl6KQ,5_B,human,True,5,1,5,4,5,5,7
R_2k7mVNKwRjNl6KQ-6_B,R_2k7mVNKwRjNl6KQ,6_B,ai,False,5,1,5,5,5,5,8
R_2k7mVNKwRjNl6KQ-7_B,R_2k7mVNKwRjNl6KQ,7_B,ai,True,1,4,2,5,5,2,4
R_2k7mVNKwRjNl6KQ-8_B,R_2k7mVNKwRjNl6KQ,8_B,human,False,5,2,4,3,3,4,3
R_2VmACIXjENL5z7H-1_G,R_2VmACIXjENL5z7H,1_G,ai,True,5,2,4,4,4,4,6
R_2VmACIXjENL5z7H-2_G,R_2VmACIXjENL5z7H,2_G,human,True,5,2,5,5,5,5,7
R_2VmACIXjENL5z7H-3_G,R_2VmACIXjENL5z7H,3_G,human,False,1,5,2,2,4,2,-1
R_2VmACIXjENL5z7H-4_G,R_2VmACIXjENL5z7H,4_G,ai,False,1,5,2,5,5,2,3
R_2VmACIXjENL5z7H-5_G,R_2VmACIXjENL5z7H,5_G,ai,False,1,4,2,5,4,2,3
R_2VmACIXjENL5z7H-6_G,R_2VmACIXjENL5z7H,6_G,human,False,1,4,2,5,5,2,4
R_2VmACIXjENL5z7H-7_G,R_2VmACIXjENL5z7H,7_G,human,True,5,2,4,4,4,4,6
R_2VmACIXjENL5z7H-8_G,R_2VmACIXjENL5z7H,8_G,ai,True,5,2,3,2,4,3,4
R_8NVcoeta4S8rpT9-1_E,R_8NVcoeta4S8rpT9,1_E,human,True,5,2,5,3,3,5,2
R_8NVcoeta4S8rpT9-2_E,R_8NVcoeta4S8rpT9,2_E,ai,True,1,4,2,2,4,2,-1
R_8NVcoeta4S8rpT9-3_E,R_8NVcoeta4S8rpT9,3_E,ai,False,5,4,3,3,3,3,2
R_8NVcoeta4S8rpT9-4_E,R_8NVcoeta4S8rpT9,4_E,human,False,5,2,4,3,3,4,3
R_8NVcoeta4S8rpT9-5_E,R_8NVcoeta4S8rpT9,5_E,human,False,5,2,4,4,3,4,4
R_8NVcoeta4S8rpT9-6_E,R_8NVcoeta4S8rpT9,6_E,ai,False,5,3,4,2,4,4,2
R_8NVcoeta4S8rpT9-7_E,R_8NVcoeta4S8rpT9,7_E,ai,True,1,2,4,2,3,4,-2
R_8NVcoeta4S8rpT9-8_E,R_8NVcoeta4S8rpT9,8_E,human,True,5,2,3,3,3,3,4
R_2NDrCAFoqWuhRXH-1_L,R_2NDrCAFoqWuhRXH,1_L,ai,False,5,2,5,4,4,5,3
R_2NDrCAFoqWuhRXH-2_L,R_2NDrCAFoqWuhRXH,2_L,ai,True,1,4,2,3,2,2,-4
R_2NDrCAFoqWuhRXH-3_L,R_2NDrCAFoqWuhRXH,3_L,human,False,5,1,5,5,5,5,6
R_2NDrCAFoqWuhRXH-4_L,R_2NDrCAFoqWuhRXH,4_L,human,True,1,3,3,3,2,3,-4
R_2NDrCAFoqWuhRXH-5_L,R_2NDrCAFoqWuhRXH,5_L,human,True,5,1,5,5,5,5,6
R_2NDrCAFoqWuhRXH-6_L,R_2NDrCAFoqWuhRXH,6_L,human,False,1,4,2,4,3,2,-1
R_2NDrCAFoqWuhRXH-7_L,R_2NDrCAFoqWuhRXH,7_L,ai,True,1,5,1,5,5,1,2
R_2NDrCAFoqWuhRXH-8_L,R_2NDrCAFoqWuhRXH,8_L,ai,False,1,4,2,1,1,2,-8
R_2amhphPbs0VzeEq-1_I,R_2amhphPbs0VzeEq,1_I,human,True,1,4,4,3,4,4,-4
R_2amhphPbs0VzeEq-2_I,R_2amhphPbs0VzeEq,2_I,ai,False,5,2,4,4,5,4,5
R_2amhphPbs0VzeEq-3_I,R_2amhphPbs0VzeEq,3_I,ai,True,5,2,4,4,4,4,5
R_2amhphPbs0VzeEq-4_I,R_2amhphPbs0VzeEq,4_I,human,False,5,3,3,4,3,3,3
R_2amhphPbs0VzeEq-5_I,R_2amhphPbs0VzeEq,5_I,human,False,1,4,2,3,3,2,-1
R_2amhphPbs0VzeEq-6_I,R_2amhphPbs0VzeEq,6_I,ai,True,1,2,4,4,3,4,-1
R_2amhphPbs0VzeEq-7_I,R_2amhphPbs0VzeEq,7_I,ai,False,1,4,2,3,4,2,-1
R_2amhphPbs0VzeEq-8_I,R_2amhphPbs0VzeEq,8_I,human,True,5,3,3,3,3,3,2
R_8eRDNaY0lHGPd7Q-1_K,R_8eRDNaY0lHGPd7Q,1_K,ai,True,1,3,5,4,5,5,-1
R_8eRDNaY0lHGPd7Q-2_K,R_8eRDNaY0lHGPd7Q,2_K,human,False,1,3,3,4,4,3,0
R_8eRDNaY0lHGPd7Q-3_K,R_8eRDNaY0lHGPd7Q,3_K,human,True,1,3,4,4,4,4,-1
R_8eRDNaY0lHGPd7Q-4_K,R_8eRDNaY0lHGPd7Q,4_K,ai,False,5,3,4,3,4,4,3
R_8eRDNaY0lHGPd7Q-5_K,R_8eRDNaY0lHGPd7Q,5_K,ai,False,5,3,4,4,4,4,5
R_8eRDNaY0lHGPd7Q-6_K,R_8eRDNaY0lHGPd7Q,6_K,human,True,1,4,4,4,4,4,-1
R_8eRDNaY0lHGPd7Q-7_K,R_8eRDNaY0lHGPd7Q,7_K,human,False,1,3,4,3,3,4,-2
R_8eRDNaY0lHGPd7Q-8_K,R_8eRDNaY0lHGPd7Q,8_K,ai,True,1,3,4,4,3,4,-1
